,,,,,,ABS [?..?],ABS [?..?],ABS [?..?],ABS [?..?],ABS [?..?],ABS [?..?],ABS [?..?],abs glat,abs glat,abs glat,abs glat,abs glat,abs glat,abs glat,abs glong,abs glong,abs glong,abs glong,abs glong,abs glong,abs glong,abs ROTY ,abs ROTY ,abs ROTY ,abs ROTY ,abs ROTY ,abs ROTY ,abs ROTY ,abs Steerangle,abs Steerangle,abs Steerangle,abs Steerangle,abs Steerangle,abs Steerangle,abs Steerangle,BRAKE [%],BRAKE [%],BRAKE [%],BRAKE [%],BRAKE [%],BRAKE [%],BRAKE [%],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RR [°C],BRAKE_TEMP_RR [°C],BRAKE_TEMP_RR [°C],BRAKE_TEMP_RR [°C],BRAKE_TEMP_RR [°C],BRAKE_TEMP_RR [°C],BRAKE_TEMP_RR [°C],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RR [?..?],BUMPSTOPUP_RIDE_RR [?..?],BUMPSTOPUP_RIDE_RR [?..?],BUMPSTOPUP_RIDE_RR [?..?],BUMPSTOPUP_RIDE_RR [?..?],BUMPSTOPUP_RIDE_RR [?..?],BUMPSTOPUP_RIDE_RR [?..?],Calc Lap Time [s],Calc Lap Time [s],Calc Lap Time [s],Calc Lap Time [s],Calc Lap Time [s],Calc Lap Time [s],Calc Lap Time [s],Calc Outing Time [s],Calc Outing Time [s],Calc Outing Time [s],Calc Outing Time [s],Calc Outing Time [s],Calc Outing Time [s],Calc Outing Time [s],CLUTCH [%],CLUTCH [%],CLUTCH [%],CLUTCH [%],CLUTCH [%],CLUTCH [%],CLUTCH [%],Corr Dist [m],Corr Dist [m],Corr Dist [m],Corr Dist [m],Corr Dist [m],Corr Dist [m],Corr Dist [m],Corr Lap Dist [m],Corr Lap Dist [m],Corr Lap Dist [m],Corr Lap Dist [m],Corr Lap Dist [m],Corr Lap Dist [m],Corr Lap Dist [m],Corr Speed [km/h],Corr Speed [km/h],Corr Speed [km/h],Corr Speed [km/h],Corr Speed [km/h],Corr Speed [km/h],Corr Speed [km/h],Damper Vel FL [mm/s],Damper Vel FL [mm/s],Damper Vel FL [mm/s],Damper Vel FL [mm/s],Damper Vel FL [mm/s],Damper Vel FL [mm/s],Damper Vel FL [mm/s],Damper Vel FR [mm/s],Damper Vel FR [mm/s],Damper Vel FR [mm/s],Damper Vel FR [mm/s],Damper Vel FR [mm/s],Damper Vel FR [mm/s],Damper Vel FR [mm/s],Damper Vel RL [mm/s],Damper Vel RL [mm/s],Damper Vel RL [mm/s],Damper Vel RL [mm/s],Damper Vel RL [mm/s],Damper Vel RL [mm/s],Damper Vel RL [mm/s],Damper Vel RR [mm/s],Damper Vel RR [mm/s],Damper Vel RR [mm/s],Damper Vel RR [mm/s],Damper Vel RR [mm/s],Damper Vel RR [mm/s],Damper Vel RR [mm/s],G_LAT [?m/s2?],G_LAT [?m/s2?],G_LAT [?m/s2?],G_LAT [?m/s2?],G_LAT [?m/s2?],G_LAT [?m/s2?],G_LAT [?m/s2?],G_LON [?m/s2?],G_LON [?m/s2?],G_LON [?m/s2?],G_LON [?m/s2?],G_LON [?m/s2?],G_LON [?m/s2?],G_LON [?m/s2?],GEAR [?no?],GEAR [?no?],GEAR [?no?],GEAR [?no?],GEAR [?no?],GEAR [?no?],GEAR [?no?],glat [G],glat [G],glat [G],glat [G],glat [G],glat [G],glat [G],glong [G],glong [G],glong [G],glong [G],glong [G],glong [G],glong [G],is1st,is1st,is1st,is1st,is1st,is1st,is1st,is2nd,is2nd,is2nd,is2nd,is2nd,is2nd,is2nd,is2ndWOT,is2ndWOT,is2ndWOT,is2ndWOT,is2ndWOT,is2ndWOT,is2ndWOT,is3rd,is3rd,is3rd,is3rd,is3rd,is3rd,is3rd,is3rdWOT,is3rdWOT,is3rdWOT,is3rdWOT,is3rdWOT,is3rdWOT,is3rdWOT,is4th,is4th,is4th,is4th,is4th,is4th,is4th,is5th,is5th,is5th,is5th,is5th,is5th,is5th,is6th,is6th,is6th,is6th,is6th,is6th,is6th,isWOT,isWOT,isWOT,isWOT,isWOT,isWOT,isWOT,lane deviation,lane deviation,lane deviation,lane deviation,lane deviation,lane deviation,lane deviation,LAP_BEACON [?..?],LAP_BEACON [?..?],LAP_BEACON [?..?],LAP_BEACON [?..?],LAP_BEACON [?..?],LAP_BEACON [?..?],LAP_BEACON [?..?],Oversteer [°],Oversteer [°],Oversteer [°],Oversteer [°],Oversteer [°],Oversteer [°],Oversteer [°],ROTY [°/s],ROTY [°/s],ROTY [°/s],ROTY [°/s],ROTY [°/s],ROTY [°/s],ROTY [°/s],RPMS [1/min],RPMS [1/min],RPMS [1/min],RPMS [1/min],RPMS [1/min],RPMS [1/min],RPMS [1/min],SPEED [km/h],SPEED [km/h],SPEED [km/h],SPEED [km/h],SPEED [km/h],SPEED [km/h],SPEED [km/h],STEERANGLE [°],STEERANGLE [°],STEERANGLE [°],STEERANGLE [°],STEERANGLE [°],STEERANGLE [°],STEERANGLE [°],steered angle [rad],steered angle [rad],steered angle [rad],steered angle [rad],steered angle [rad],steered angle [rad],steered angle [rad],steering reversal rate per lap,steering reversal rate per lap,steering reversal rate per lap,steering reversal rate per lap,steering reversal rate per lap,steering reversal rate per lap,steering reversal rate per lap,steering reversal rate per sector,steering reversal rate per sector,steering reversal rate per sector,steering reversal rate per sector,steering reversal rate per sector,steering reversal rate per sector,steering reversal rate per sector,SUS_TRAVEL_LF [mm],SUS_TRAVEL_LF [mm],SUS_TRAVEL_LF [mm],SUS_TRAVEL_LF [mm],SUS_TRAVEL_LF [mm],SUS_TRAVEL_LF [mm],SUS_TRAVEL_LF [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RR [mm],SUS_TRAVEL_RR [mm],SUS_TRAVEL_RR [mm],SUS_TRAVEL_RR [mm],SUS_TRAVEL_RR [mm],SUS_TRAVEL_RR [mm],SUS_TRAVEL_RR [mm],TC [?..?],TC [?..?],TC [?..?],TC [?..?],TC [?..?],TC [?..?],TC [?..?],THROTTLE [%],THROTTLE [%],THROTTLE [%],THROTTLE [%],THROTTLE [%],THROTTLE [%],THROTTLE [%],TYRE_PRESS_LF [?..?],TYRE_PRESS_LF [?..?],TYRE_PRESS_LF [?..?],TYRE_PRESS_LF [?..?],TYRE_PRESS_LF [?..?],TYRE_PRESS_LF [?..?],TYRE_PRESS_LF [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RR [?..?],TYRE_PRESS_RR [?..?],TYRE_PRESS_RR [?..?],TYRE_PRESS_RR [?..?],TYRE_PRESS_RR [?..?],TYRE_PRESS_RR [?..?],TYRE_PRESS_RR [?..?],TYRE_TAIR_LF [°C],TYRE_TAIR_LF [°C],TYRE_TAIR_LF [°C],TYRE_TAIR_LF [°C],TYRE_TAIR_LF [°C],TYRE_TAIR_LF [°C],TYRE_TAIR_LF [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RR [°C],TYRE_TAIR_RR [°C],TYRE_TAIR_RR [°C],TYRE_TAIR_RR [°C],TYRE_TAIR_RR [°C],TYRE_TAIR_RR [°C],TYRE_TAIR_RR [°C],understeer,understeer,understeer,understeer,understeer,understeer,understeer,WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RR [m/s],WHEEL_SPEED_RR [m/s],WHEEL_SPEED_RR [m/s],WHEEL_SPEED_RR [m/s],WHEEL_SPEED_RR [m/s],WHEEL_SPEED_RR [m/s],WHEEL_SPEED_RR [m/s]
,,,,,,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev
"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","24/08/2023, ",,Out Lap,66.857,0,0,0,0,0,0,0,0,0.2,0.01,0,0.01,0.01,0.03,0,0.82,0.02,0,0,0,0.09,0,14.97,0.73,0,0.22,0.22,2.58,0,127.75,6.96,0,0.64,0.64,23.6,0,100,68,100,0,-100,46,27,27,27,27,27,0,0,27,27,27,27,27,0,0,27,27,27,27,27,0,0,27,27,27,27,27,0,0,-5632,3118,0,0,0,0,79,0,2694,7,0,0,0,116,-5632,3104,0,0,0,0,83,0,2688,7,0,0,0,115,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66.856,33.428,0,0,0,19.3,0,66.857,33.428,0,66.857,66.857,19.3,0,100,89,100,0,-100,29,0,102,6,0,102,102,19,0,102,6,0,59,59,19,0,49.6,5.5,0,49.4,49.4,14.3,-833,808.8,0,,1.2,,27.6,-833.7,849.5,0,,1.3,,28.6,-1126.8,1167.9,0,,-0.3,,43.2,-1125.7,1100.5,0,,-0.4,,40.9,-0.2,0.18,0.01,0,0.01,0.01,0.03,0,1,0,0,0,0,0,0,1,0,0,1,1,0,-0.2,0.18,0.01,0,0.01,0.01,0.03,-0.44,0.82,0.02,0,0,0,0.09,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,1,1,0.26,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,-0.91,14.97,0.71,0,0.22,0.22,2.58,0,3657,667,0,3212,3212,1127,0,49.6,5.5,0,49.4,49.4,14.3,-4,128,7,0,1,1,24,-0.01,0.2,0.01,0,0,0,0.04,0,0,0,,,,0,0,0,0,,0,,0,-15,63,8,8,8,0,1,-11,52,9,9,10,1,2,-15,63,8,8,8,0,1,-11,49,9,9,10,1,2,0,1,0,0,0,0,0,0,100,14,0,100,100,32,26,26,26,26,26,0,0,25,25,25,25,25,0,0,26,26,26,26,26,0,0,25,25,25,25,25,0,0,69,70,70,70,69,-1,0,69,70,70,70,69,-1,0,69,70,70,70,69,-1,0,69,70,70,70,69,-1,0,0,0,0,,0,,0,0,14,2,0,14,14,4,-1,14,2,0,14,14,4,0,14,2,0,14,14,4,-1,14,2,0,14,14,4
"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","24/08/2023, ",,Lap 1,104.137,0,1,0,0,0,0,0,0,1.85,0.58,0.01,0.21,0.21,0.49,0,1.88,0.39,0,0.27,0.27,0.34,0,45.81,11.67,0.22,2.53,2.31,11.53,0,155.98,25.32,0.64,4.95,4.32,29.47,0,100,9,0,0,0,24,27,524,275,27,376,349,147,27,267,145,27,213,186,73,27,527,276,27,379,351,148,27,269,146,27,215,188,74,-2983,1178,3,0,0,0,276,0,1996,29,0,0,0,176,-1634,1451,-59,0,0,0,350,0,1579,12,0,0,0,76,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104.136,52.068,0,0,0,30.062,66.857,170.994,118.926,66.857,170.994,104.137,30.062,0,0,0,0,0,0,0,102,3662,1789,102,3662,3560,1081,0,3560,1687,59,1282,1223,1081,47.7,206,121.8,49.4,189.7,140.2,37.4,-423.4,477.9,0,1.2,-4.1,-5.3,33,-218.9,284.1,0,1.3,24.3,23,33.9,-535.4,421,0.1,-0.3,25.7,26,44,-389.8,327.7,0.1,-0.4,30.4,30.8,45,-1.69,1.85,0.13,0.01,0.22,0.21,0.75,-2,1,0,0,0,0,1,1,5,3,1,4,3,1,-1.69,1.85,0.13,0.01,0.21,0.21,0.75,-1.88,0.91,0.05,0,0.27,0.27,0.52,0,1,0,1,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.46,1,1,0,0.5,0,1,0.19,0,0,0,0.39,0,0,0,0,0,0,0,-4.38,8.15,-0.97,0,-0.38,-0.38,1.14,-40.75,45.81,3.46,0.22,2.51,2.29,16.04,1975,6946,5243,3212,6571,3359,1022,47.7,206,121.8,49.4,189.7,140.3,37.4,-84,156,9,1,5,4,38,-0.13,0.25,0.01,0,0.01,0.01,0.06,0,19.48,8.2,,7.01,,6.02,0,2.53,0.29,0,0,0,0.56,-6,41,7,8,9,1,7,-8,33,12,10,21,11,7,-7,29,9,8,12,4,7,-7,40,14,10,25,15,7,0,1,0,0,0,0,0,0,100,58,100,100,0,44,25,26,26,26,26,0,0,25,25,25,25,25,0,0,25,26,26,26,26,0,0,25,26,25,25,26,1,0,67,69,68,69,69,0,1,68,74,71,69,74,4,2,66,72,69,69,72,3,1,69,76,71,69,76,7,3,0,4.38,1,0,0.38,0.38,1.04,13,57,33,14,53,39,10,3,58,34,14,54,40,11,13,57,34,14,53,39,10,14,58,34,14,54,40,11
"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","24/08/2023, ",,Lap 2,97.162,0,1,0,0,0,0,0,0,2.24,0.68,0.21,0.25,0.04,0.5,0,3.76,0.41,0.27,0.26,0,0.36,0,50.83,12.6,2.53,2.42,-0.11,10.94,0,115.42,25.18,4.95,6.12,1.16,24.11,0,100,10,0,0,0,26,256,557,412,376,382,6,63,165,293,233,213,228,16,28,255,557,413,379,383,4,64,166,292,234,215,228,13,27,-2770,1420,1,0,0,0,349,-1471,2182,36,0,0,0,190,-2953,2111,-71,0,-11,-11,370,-544,1869,25,0,0,0,140,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,97.161,48.58,0,0,0,28.049,170.994,268.156,219.575,170.994,268.156,97.162,28.049,0,0,0,0,0,0,0,3662,7222,5484,3662,7222,3560,1021,0,3560,1822,1282,2278,997,1021,61.8,206.2,133,189.7,190.7,1,36.4,-525.5,951.6,0,-4.1,8.2,12.3,47.3,-704.3,742.8,0,24.3,24.1,-0.2,50.5,-1099.9,2138.5,0,25.7,30.7,5,83.4,-1124.7,1110.8,0,30.4,19.5,-10.9,70.6,-1.9,2.24,0.16,0.22,0.25,0.03,0.83,-2,4,0,0,0,0,1,1,5,3,4,4,0,1,-1.9,2.24,0.16,0.21,0.25,0.04,0.83,-1.91,3.76,0.03,0.27,0.26,0,0.55,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.46,1,1,0,0.5,0,1,0.21,0,0,0,0.41,0,0,0,0,0,0,0,-4.35,3.03,-1.1,-0.38,-0.41,-0.03,1.08,-44.06,50.83,3.7,2.51,2.35,-0.16,16.27,2870,7224,5549,6571,6607,36,863,61.8,206.2,133,189.7,190.6,0.9,36.4,-66,115,9,5,6,1,34,-0.11,0.18,0.01,0.01,0.01,0,0.05,0,20.23,10.37,7.01,,,5.7,0,3.63,0.38,0,0.05,0.05,0.59,-7,39,8,9,8,-1,8,-9,88,13,21,20,-1,8,-10,40,10,12,13,1,8,-8,78,15,25,24,-1,8,0,1,0,0,0,0,0,0,100,59,100,100,0,44,26,26,26,26,26,0,0,25,26,26,25,26,0,0,26,26,26,26,26,0,0,26,26,26,26,26,0,0,69,73,72,69,73,4,1,74,79,77,74,78,4,2,72,76,75,72,76,4,1,76,81,80,76,81,5,1,0,4.35,1.13,0.38,0.41,0.03,1.02,17,57,36,53,53,0,10,16,58,37,54,54,0,10,18,57,37,53,53,0,10,17,58,37,54,54,0,10
