PID,TrackName,CarName,EventDate,Lap,LapTime,Corr Speed kmh_Min,Corr Speed kmh_Max,Corr Speed kmh_Avg,Corr Speed kmh_Start,Corr Speed kmh_End,Corr Speed kmh_Std Dev,BRAKE _Min,BRAKE _Max,BRAKE _Avg,BRAKE _Start,BRAKE _End,BRAKE _Std Dev,Oversteer _Min,Oversteer _Max,Oversteer _Avg,Oversteer _Start,Oversteer _End,Oversteer _Std Dev,ROTY s_Min,ROTY s_Max,ROTY s_Avg,ROTY s_Start,ROTY s_End,ROTY s_Std Dev,THROTTLE _Min,THROTTLE _Max,THROTTLE _Avg,THROTTLE _Start,THROTTLE _End,THROTTLE _Std Dev,abs glat_Max,abs glat_Avg,abs glat_Start,abs glat_End,abs glat_Std Dev,abs glong_Min,abs glong_Max,abs glong_Avg,abs glong_Start,abs glong_End,abs glong_Std Dev,abs Steerangle_Min,abs Steerangle_Max,abs Steerangle_Avg,abs Steerangle_Start,abs Steerangle_End,abs Steerangle_Std Dev,lane deviation_Min,lane deviation_Max,lane deviation_Avg,lane deviation_Start,lane deviation_End,lane deviation_Std Dev,steering reversal rate per lap_Min,steering reversal rate per lap_Max,steering reversal rate per lap_Avg,steering reversal rate per lap_Start,steering reversal rate per lap_End,steering reversal rate per lap_Std Dev,steering reversal rate per sector_Min,steering reversal rate per sector_Max,steering reversal rate per sector_Avg,steering reversal rate per sector_Start,steering reversal rate per sector_End,steering reversal rate per sector_Std Dev,understeer_Min,understeer_Max,understeer_Avg,understeer_Start,understeer_End,understeer_Change,understeer_Std Dev,z,outlier,validlap,cluster,cluster_label,THROTTLE width_Avg,Throttle_duration_Avg,Throttle application speed_Avg,Throttle release application_Avg,Steer_Peakvalue_Avg,Steer_PeakTime_Avg,number of crossing_Avg,Cumulative angular travel_Avg,angular velosity_Avg,number of direction changed_Avg,steering angle_RMS,number of crossing,Brake_length_Avg,Brake_duration_Avg,Trail_braking_duration_Avg
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 2,88.514,58.8,230.6,145.4,193.3,193.7,39.7,0.0,100.0,15.0,0.0,0.0,31.0,-5.73,5.97,-1.25,-0.5,-0.3,1.35,-68.54,56.28,4.02,3.63,0.91,17.41,0.0,100.0,70.0,100.0,100.0,41.0,3.38,0.79,0.29,0.05,0.58,0.0,2.01,0.47,0.24,0.26,0.37,-0.0,135.53,27.16,6.8,3.63,28.11,0.0,1.0,0.26,0.0,0.0,0.44,0.0,23.12,11.04,0.0,16.18,7.0,0.0,3.97,0.46,0.12,0.0,0.7,0.0,5.73,1.29,0.5,0.3,-0.2,1.25,-0.891392789653217,0,1,1,Fast,231.375,4.627499999999998,6.250000000000003,180.5,69.61,39.17122222222223,41.0,3448.0,38.96045197740113,238.0,39.09003080677446,41.0,177.65335497835497,29.62000000000001,28.660000000000007
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 3,87.907,65.6,230.3,146.1,193.7,193.6,38.7,0.0,100.0,14.0,0.0,0.0,31.0,-5.97,1.43,-1.32,-0.3,-0.06,1.27,-43.74,59.76,4.08,0.91,0.04,17.24,0.0,100.0,71.0,100.0,100.0,41.0,2.72,0.8,0.05,0.03,0.57,0.0,2.15,0.47,0.26,0.26,0.38,-0.0,119.73,27.29,3.63,0.73,26.62,0.0,1.0,0.26,0.0,0.0,0.44,0.0,22.48,10.77,16.18,6.3,6.94,0.0,3.32,0.48,0.0,0.02,0.64,0.0,5.97,1.33,0.3,0.06,-0.24,1.25,-0.9318809676218364,0,1,1,Fast,297.3105590062111,5.945714285714282,7.143454084723962,231.57142857142858,69.24,38.40166666666667,34.0,3193.0,36.33674630261661,273.0,38.12861892781372,34.0,124.01446886446922,20.000000000000004,19.099999999999998
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 7,90.384,28.7,230.0,141.8,193.4,193.0,43.1,0.0,100.0,15.0,0.0,0.0,32.0,-5.52,17.47,-0.94,-0.27,-0.28,2.51,-51.75,53.85,3.97,1.63,1.74,17.74,0.0,100.0,71.0,100.0,100.0,41.0,2.53,0.79,0.11,0.13,0.58,0.0,2.02,0.47,0.25,0.25,0.36,-0.0,158.31,29.21,3.52,3.66,29.15,0.0,1.0,0.29,0.0,0.0,0.45,0.0,26.22,12.39,2.44,1.57,8.29,0.0,3.4,0.68,0.2,0.18,0.8,0.0,5.52,1.27,0.27,0.28,0.01,1.19,-0.766659852583499,0,1,1,Fast,290.2857142857143,5.805714285714283,7.142857142857145,223.71428571428572,80.40444444444444,39.972777777777786,27.0,3657.0,40.48040735001107,280.0,41.289066673729636,27.0,194.7567736185382,27.800000000000008,26.520000000000007
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 8,89.842,53.9,228.3,143.1,193.0,191.2,38.1,0.0,100.0,13.0,0.0,0.0,30.0,-6.13,2.27,-1.31,-0.28,-0.16,1.27,-54.5,49.92,3.99,1.74,0.72,17.18,0.0,100.0,66.0,100.0,100.0,42.0,2.34,0.78,0.13,0.07,0.58,0.0,1.91,0.45,0.25,0.24,0.37,-0.0,139.03,27.21,3.66,1.95,27.35,0.0,1.0,0.27,0.0,0.0,0.45,0.0,24.68,12.09,1.57,13.33,7.65,0.0,3.55,0.63,0.18,0.0,0.76,0.0,6.13,1.33,0.28,0.16,-0.12,1.24,-0.8028123937021018,0,1,1,Fast,211.01315789473685,4.219999999999999,6.250389748066851,182.0,68.27222222222223,39.18655555555555,37.0,3192.0,35.537742150968604,300.0,38.59315680782898,37.0,118.58690476190452,49.41999999999997,48.639999999999986
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 9,87.049,68.6,228.6,147.2,191.2,192.6,38.3,0.0,100.0,14.0,0.0,0.0,31.0,-5.23,6.31,-1.29,-0.16,-0.18,1.35,-49.17,57.57,4.11,0.72,0.86,17.48,0.0,100.0,70.0,100.0,100.0,40.0,2.69,0.82,0.07,0.03,0.58,0.0,2.04,0.46,0.24,0.26,0.37,-0.0,105.73,27.36,1.95,2.26,26.01,0.0,1.0,0.26,0.0,0.0,0.44,0.0,22.85,10.43,13.33,13.71,6.86,0.0,3.57,0.39,0.0,0.23,0.68,0.0,5.23,1.34,0.16,0.18,0.02,1.24,-0.9891113740420592,0,1,1,Fast,305.42857142857144,6.108571428571428,7.142857142857144,251.0,65.99666666666667,37.87122222222222,41.0,3624.0,41.64559871293955,288.0,37.76927986464541,41.0,153.3293233082709,16.920000000000005,15.840000000000003
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 10,88.144,65.0,229.4,145.3,192.6,193.5,38.5,0.0,100.0,14.0,0.0,0.0,31.0,-5.76,1.31,-1.29,-0.18,-0.07,1.24,-50.42,72.76,4.07,0.86,0.35,17.36,0.0,100.0,68.0,100.0,100.0,42.0,2.99,0.8,0.03,0.02,0.57,0.0,1.91,0.46,0.26,0.25,0.36,-0.0,126.93,26.93,2.26,0.94,26.46,0.0,1.0,0.24,0.0,0.0,0.43,0.0,21.37,10.23,13.71,20.51,6.53,0.0,3.6,0.44,0.23,0.15,0.64,0.0,5.76,1.3,0.18,0.07,-0.11,1.23,-0.9160725686456204,0,1,1,Fast,301.57142857142856,6.031428571428543,7.142857142857176,244.85714285714286,72.92666666666668,38.446666666666665,36.0,3182.0,36.129398410896705,274.0,37.77457780991558,36.0,118.43214285714271,18.59999999999999,17.979999999999983
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 11,87.196,66.9,230.1,146.9,193.5,192.5,39.1,0.0,100.0,14.0,0.0,0.0,32.0,-6.61,1.57,-1.3,-0.07,-0.14,1.23,-52.63,70.23,4.12,0.35,0.61,17.5,0.0,100.0,70.0,100.0,100.0,42.0,3.04,0.82,0.02,0.05,0.57,0.0,1.99,0.46,0.25,0.26,0.38,-0.0,140.68,27.26,0.94,1.71,26.25,0.0,1.0,0.22,0.0,0.0,0.41,0.0,20.51,8.98,20.51,3.83,5.74,0.0,3.23,0.35,0.15,0.2,0.6,0.0,6.61,1.32,0.07,0.14,0.07,1.21,-0.979306164550483,0,1,1,Fast,302.7142857142857,6.054285714285697,7.142857142857163,251.0,70.16111111111111,38.053777777777775,35.0,3041.0,34.889857732905,288.0,37.850827952457706,35.0,108.34509803921566,16.51999999999999,15.879999999999995
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 12,87.26,62.4,229.3,147.1,192.5,192.8,39.4,0.0,100.0,14.0,0.0,0.0,31.0,-7.61,3.69,-1.32,-0.14,-0.11,1.41,-68.53,73.55,4.11,0.61,0.47,17.67,0.0,100.0,70.0,100.0,100.0,42.0,2.91,0.82,0.05,0.04,0.59,0.0,1.96,0.47,0.26,0.26,0.38,-0.0,151.32,27.54,1.71,1.07,28.94,0.0,1.0,0.25,0.0,0.0,0.43,0.0,21.55,10.27,3.83,12.93,6.47,0.0,3.85,0.41,0.2,0.0,0.68,0.0,7.61,1.35,0.14,0.11,-0.04,1.36,-0.9750372298058504,0,1,1,Fast,306.57142857142856,6.1314285714285495,7.142857142857168,251.42857142857142,74.49555555555555,38.0,45.0,3199.0,36.66895919303072,264.0,39.95609121430785,45.0,140.37500000000006,25.099999999999994,23.91999999999999
P134,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 2,92.709,71.6,220.2,139.4,192.7,192.4,36.6,0.0,100.0,10.0,0.0,0.0,23.0,-9.21,9.65,-1.38,-0.81,-0.6,2.2,-64.55,58.67,3.87,5.32,3.6,17.46,0.0,100.0,59.0,100.0,100.0,42.0,2.86,0.73,0.4,0.31,0.59,0.0,1.8,0.4,0.25,0.26,0.36,-0.0,145.86,28.89,11.81,9.07,34.28,0.0,1.0,0.27,0.0,0.0,0.44,0.0,24.8,12.84,3.9,15.38,7.35,0.0,4.03,0.52,0.1,0.0,0.77,0.0,9.21,1.5,0.81,0.6,-0.21,1.97,-0.6115774575636627,0,1,1,Fast,363.57142857142856,7.271428571428568,7.142857142857146,268.2857142857143,82.49777777777778,41.25933333333333,34.0,3185.0,34.36555891238671,310.0,44.84169633079292,34.0,109.25,13.640000000000006,12.779999999999994
P134,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 3,95.922,60.5,220.1,135.2,192.4,192.3,39.1,0.0,100.0,9.0,0.0,0.0,23.0,-13.35,10.27,-1.73,-0.6,-0.71,2.57,-48.84,46.31,3.74,3.6,4.51,17.1,0.0,100.0,56.0,100.0,100.0,44.0,2.45,0.72,0.31,0.39,0.57,0.0,1.81,0.4,0.26,0.24,0.33,-0.0,180.27,32.74,9.07,10.36,38.86,0.0,1.0,0.3,0.0,0.0,0.46,0.0,28.6,14.53,15.38,8.58,8.3,0.0,4.0,0.66,0.0,0.47,0.76,0.0,13.35,1.79,0.6,0.71,0.11,2.49,-0.3972635929620572,0,1,1,Fast,352.0,7.0400000000000045,7.142857142857139,261.0,84.46555555555557,42.55033333333333,29.0,3033.0,31.633291614518146,293.0,50.83251433851962,29.0,108.82499999999999,7.319999999999995,6.3399999999999945
P134,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 7,109.389,0.0,218.3,118.7,193.2,193.1,60.7,0.0,100.0,12.0,0.0,0.0,29.0,-7.07,26.12,-0.74,-0.53,-0.53,2.91,-51.42,60.11,3.28,4.14,3.44,17.58,0.0,100.0,56.0,100.0,100.0,44.0,2.64,0.65,0.34,0.29,0.59,0.0,6.6,0.39,0.26,0.25,0.39,-0.0,240.0,55.76,7.8,7.4,74.41,0.0,1.0,0.23,0.0,0.0,0.42,0.0,25.02,12.88,0.0,4.0,7.09,0.0,4.22,0.96,0.0,0.0,1.13,0.0,7.07,1.08,0.53,0.53,-0.01,1.35,0.5010136602560646,0,1,2,Medium,339.35,6.78599999999999,5.000736811081646,243.1,101.56090909090909,48.499545454545455,35.0,4361.0,39.88476312419974,304.0,93.0144678979519,35.0,99.24999999999983,62.83999999999998,62.419999999999995
P134,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 8,100.274,0.0,225.5,129.5,193.1,191.5,52.6,0.0,100.0,12.0,0.0,0.0,29.0,-11.03,23.36,-1.18,-0.53,-0.4,3.32,-36.3,123.0,7.09,3.44,3.14,20.29,0.0,100.0,61.0,100.0,100.0,44.0,3.49,0.7,0.29,0.26,0.61,0.0,7.85,0.42,0.25,0.24,0.41,-0.0,240.0,40.73,7.4,5.93,52.46,0.0,1.0,0.25,0.0,0.0,0.43,0.0,25.35,13.82,4.0,18.25,7.53,0.0,4.22,0.5,0.0,0.25,0.74,0.0,11.03,1.49,0.53,0.4,-0.12,2.19,-0.1069760303270776,0,1,2,Medium,381.7142857142857,7.634285714285722,7.142857142857136,298.14285714285717,103.00699999999999,43.94200000000001,44.0,4866.0,48.53381208856972,322.0,66.42567753772258,44.0,43.10000000000002,12.260000000000009,11.939999999999994
P134,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 9,103.172,0.0,224.2,126.2,191.5,184.8,51.3,0.0,100.0,10.0,0.0,0.0,26.0,-10.56,21.91,-1.07,-0.4,-0.79,3.57,-73.08,63.72,3.48,3.14,5.28,19.77,0.0,100.0,62.0,100.0,100.0,42.0,2.84,0.71,0.26,0.36,0.57,0.0,2.12,0.41,0.24,0.26,0.36,-0.0,240.0,45.0,5.93,11.62,54.11,0.0,1.0,0.28,0.0,0.0,0.45,0.0,28.52,14.74,18.25,0.0,9.08,0.0,4.18,0.62,0.25,0.0,0.91,0.0,10.56,1.54,0.4,0.79,0.39,2.21,0.086326671078292,0,1,2,Medium,435.0,8.700000000000008,5.555555555555551,286.77777777777777,113.60500000000002,44.95399999999999,46.0,4724.0,45.792943001163245,340.0,70.38850808597941,46.0,168.60000000000002,41.639999999999986,40.959999999999994
P134,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 10,94.85,36.1,219.3,136.6,184.8,192.4,43.7,0.0,100.0,13.0,0.0,0.0,30.0,-19.15,13.36,-1.72,-0.79,-0.86,2.7,-53.04,54.41,3.78,5.28,5.55,18.21,0.0,100.0,64.0,100.0,100.0,43.0,2.58,0.75,0.36,0.4,0.57,0.0,1.86,0.44,0.26,0.26,0.38,-0.0,219.4,35.43,11.62,12.47,41.1,0.0,1.0,0.29,0.0,0.0,0.45,0.0,27.62,13.77,0.0,11.05,8.21,0.0,4.13,0.61,0.0,0.47,0.78,0.0,19.15,1.8,0.79,0.86,0.07,2.5,-0.4687682499346442,0,1,1,Fast,331.875,6.6375000000000455,6.249999999999957,246.875,97.42888888888888,41.656666666666666,40.0,3800.0,40.067482075073805,321.0,54.277552638002675,40.0,84.36666666666667,1.559999999999997,0.7800000000000011
P134,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 11,89.69,59.9,225.1,143.8,192.4,193.7,39.0,0.0,100.0,13.0,0.0,0.0,29.0,-9.14,4.63,-1.36,-0.86,-0.79,1.74,-41.0,67.03,4.02,5.55,5.16,17.04,0.0,100.0,65.0,100.0,100.0,44.0,2.63,0.75,0.4,0.47,0.56,0.0,1.76,0.45,0.26,0.24,0.37,-0.0,159.72,28.03,12.47,11.98,31.95,0.0,1.0,0.24,0.0,0.0,0.43,0.0,21.8,10.46,11.05,0.0,6.68,0.0,4.22,0.46,0.47,0.0,0.74,0.0,9.14,1.41,0.86,0.79,-0.08,1.67,-0.8129511137206029,0,1,1,Fast,320.42857142857144,6.408571428571447,7.142857142857123,258.14285714285717,71.889,44.212,37.0,2917.0,32.537912578055305,315.0,42.51034139807105,37.0,132.16666666666674,2.4799999999999853,1.2399999999999851
P133,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 2,93.662,25.9,224.5,137.8,188.6,193.1,43.7,0.0,100.0,15.0,0.0,0.0,33.0,-10.73,2.12,-1.54,-0.91,-0.84,1.84,-38.14,46.58,3.84,6.1,4.82,17.07,0.0,100.0,67.0,100.0,100.0,40.0,2.39,0.7,0.43,0.4,0.55,0.0,2.59,0.47,0.26,0.24,0.41,-0.0,195.78,33.56,12.88,12.33,40.78,0.0,1.0,0.29,0.0,0.0,0.45,0.0,27.02,13.61,9.05,0.0,8.06,0.0,4.07,0.58,0.28,0.0,0.8,0.0,10.73,1.56,0.91,0.84,-0.06,1.82,-0.5480103511318758,0,1,1,Fast,312.57142857142856,6.251428571428574,7.14285714285714,256.0,90.62333333333333,41.436,43.0,4037.0,43.12112796411023,318.0,52.83441826162394,43.0,87.6178571428573,6.179999999999998,5.559999999999998
P133,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 3,89.967,62.9,231.0,143.4,193.1,191.7,38.9,0.0,100.0,15.0,0.0,0.0,33.0,-9.24,9.4,-1.58,-0.84,-0.61,1.83,-41.22,57.6,4.0,4.82,3.77,17.49,0.0,100.0,70.0,100.0,100.0,41.0,2.39,0.76,0.4,0.33,0.56,0.0,1.87,0.47,0.24,0.25,0.39,-0.0,161.15,31.0,12.33,8.83,33.53,0.0,1.0,0.3,0.0,0.0,0.46,0.0,27.33,14.08,0.0,16.95,8.26,0.0,3.87,0.59,0.0,0.27,0.81,0.0,9.24,1.62,0.84,0.61,-0.23,1.74,-0.7944746305289923,0,1,1,Fast,354.8333333333333,7.096666666666664,8.333333333333337,267.5,98.8775,40.79900000000001,36.0,3934.0,43.74027129197243,287.0,45.680898593732664,36.0,56.276190476191005,22.99999999999998,22.89999999999997
P133,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 7,88.529,65.0,227.9,145.4,192.5,193.0,38.3,0.0,100.0,14.0,0.0,0.0,31.0,-8.4,4.9,-1.61,-0.71,-0.74,1.83,-43.86,53.42,4.06,4.33,4.33,17.71,0.0,100.0,70.0,100.0,100.0,41.0,2.56,0.78,0.36,0.38,0.58,0.0,1.87,0.46,0.23,0.25,0.38,-0.0,140.08,30.63,10.17,10.63,34.02,0.0,1.0,0.31,0.0,0.0,0.46,0.0,27.02,13.56,19.64,26.48,8.2,0.0,4.18,0.55,0.0,0.38,0.83,0.0,8.4,1.63,0.71,0.74,0.03,1.81,-0.8903922580724438,0,1,1,Fast,323.14285714285717,6.4628571428571275,7.142857142857159,264.0,79.96333333333334,39.10644444444445,30.0,3103.0,35.07007233273056,284.0,45.797620203181566,30.0,137.45714285714274,24.820000000000007,24.519999999999996
P133,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 8,88.789,54.8,229.7,144.9,193.0,193.5,39.2,0.0,100.0,15.0,0.0,0.0,33.0,-7.15,2.48,-1.59,-0.74,-0.75,1.76,-44.7,54.27,4.04,4.33,4.35,17.65,0.0,100.0,70.0,100.0,100.0,41.0,2.47,0.77,0.38,0.38,0.58,0.0,1.89,0.47,0.25,0.24,0.39,-0.0,158.95,30.58,10.63,11.34,33.65,0.0,1.0,0.3,0.0,0.0,0.46,0.0,26.52,13.52,26.48,0.0,7.96,0.0,4.32,0.55,0.38,0.0,0.83,0.0,7.15,1.61,0.74,0.75,0.01,1.73,-0.8730497106723758,0,1,1,Fast,328.40476190476187,6.565714285714291,7.145447386961741,263.42857142857144,81.10444444444443,39.297444444444444,28.0,3048.0,34.34753211629479,273.0,45.49307406787481,28.0,40.821428571428555,1.5000000000000036,1.260000000000007
P133,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 9,102.214,0.0,230.4,127.3,193.5,193.2,51.4,0.0,100.0,12.0,0.0,0.0,30.0,-8.48,26.04,-0.67,-0.75,-0.93,4.31,-98.22,156.91,3.5,4.35,5.7,24.87,0.0,100.0,69.0,100.0,100.0,41.0,2.8,0.73,0.38,0.45,0.58,0.0,1.95,0.44,0.24,0.24,0.37,-0.0,240.0,46.36,11.34,14.15,61.19,0.0,1.0,0.31,0.0,0.0,0.46,0.0,31.28,16.89,0.0,25.03,9.89,0.0,4.65,1.18,0.0,0.0,1.54,0.0,8.48,1.39,0.75,0.93,0.17,1.72,0.0224260541195812,0,1,2,Medium,275.57407407407413,5.513333333333334,5.553689521847523,185.11111111111111,95.538,44.178000000000004,43.0,5006.0,48.98238747553816,287.0,76.78014333770747,43.0,59.9444444444448,1.1599999999999966,0.5799999999999841
P133,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 10,89.63,65.3,229.1,143.4,193.2,193.1,37.4,0.0,100.0,13.0,0.0,0.0,31.0,-9.41,10.94,-1.52,-0.93,-0.8,2.14,-61.57,49.25,4.0,5.7,5.08,17.94,0.0,100.0,69.0,100.0,100.0,41.0,2.31,0.78,0.45,0.46,0.58,0.0,1.89,0.47,0.24,0.23,0.4,-0.0,145.26,31.27,14.15,12.08,34.38,0.0,1.0,0.31,0.0,0.0,0.46,0.0,27.5,14.01,25.03,0.0,8.43,0.0,4.3,0.61,0.0,0.17,0.85,0.0,9.41,1.62,0.93,0.8,-0.13,1.9,-0.8169532400436956,0,1,1,Fast,229.61904761904762,4.59428571428571,7.139895759298751,180.14285714285714,72.44,45.571999999999996,35.0,3546.0,39.575892857142854,285.0,46.47955819881621,35.0,61.208333333333485,1.1600000000000046,0.580000000000009
P133,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 11,89.7,68.7,229.0,143.4,193.1,193.4,38.5,0.0,100.0,13.0,0.0,0.0,30.0,-7.39,3.06,-1.47,-0.8,-0.44,1.58,-48.79,46.47,3.99,5.08,2.99,17.75,0.0,100.0,70.0,100.0,100.0,41.0,2.58,0.76,0.46,0.3,0.57,0.0,1.89,0.47,0.23,0.25,0.39,-0.0,132.7,29.14,12.08,6.92,30.99,0.0,1.0,0.29,0.0,0.0,0.45,0.0,26.0,13.56,0.0,0.0,7.8,0.0,4.02,0.55,0.17,0.0,0.8,0.0,7.39,1.49,0.8,0.44,-0.36,1.56,-0.8122840926667538,0,1,1,Fast,304.0,6.080000000000022,8.333333333333304,240.66666666666666,74.85777777777778,38.815555555555555,25.0,2939.0,32.77207850133809,267.0,42.54832745821538,25.0,58.68589743589746,1.0800000000000054,0.5400000000000063
P133,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 12,89.49,65.3,227.9,143.6,193.4,192.8,38.1,0.0,100.0,13.0,0.0,0.0,30.0,-7.03,4.03,-1.45,-0.44,-0.7,1.54,-40.65,47.8,4.01,2.99,4.37,17.4,0.0,100.0,69.0,100.0,100.0,42.0,2.3,0.76,0.3,0.38,0.58,0.0,1.9,0.47,0.25,0.24,0.39,-0.0,131.89,28.62,6.92,10.37,30.0,0.0,1.0,0.28,0.0,0.0,0.45,0.0,25.35,12.56,0.0,15.21,7.63,0.0,3.93,0.5,0.0,0.0,0.83,0.0,7.03,1.46,0.44,0.7,0.26,1.52,-0.8262915347975783,0,1,1,Fast,269.0,5.379999999999967,6.250000000000038,216.875,68.786,44.192,25.0,3161.0,35.32632990612427,287.0,41.4725135316404,25.0,95.47680180180168,1.7600000000000051,0.8799999999999892
P132,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 2,90.222,62.4,224.0,143.5,191.8,192.9,38.2,0.0,100.0,11.0,0.0,0.0,24.0,-6.68,3.92,-1.33,-0.34,-0.64,1.45,-41.22,48.34,3.98,1.76,5.12,17.65,0.0,100.0,66.0,100.0,100.0,44.0,2.75,0.79,0.11,0.36,0.56,0.0,1.79,0.45,0.26,0.26,0.34,-0.0,141.16,28.48,4.0,9.3,29.17,0.0,1.0,0.25,0.0,0.0,0.43,0.0,22.65,10.76,14.08,0.0,6.66,0.0,3.83,0.43,0.0,0.0,0.67,0.0,6.68,1.38,0.34,0.64,0.3,1.38,-0.7774655936558492,0,1,1,Fast,324.625,6.492500000000014,6.249999999999987,254.0,74.56777777777778,39.784555555555556,56.0,4108.0,45.55432372505543,296.0,40.782528540373036,56.0,261.1321428571431,35.08000000000003,33.56000000000003
P132,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 3,98.187,9.4,227.0,132.6,192.9,193.2,45.8,0.0,100.0,11.0,0.0,0.0,26.0,-8.69,18.02,-0.98,-0.64,-0.67,2.28,-102.92,63.8,3.64,5.12,6.19,18.48,0.0,100.0,61.0,100.0,100.0,44.0,3.84,0.69,0.36,0.49,0.58,0.0,5.58,0.44,0.26,0.25,0.35,-0.0,240.0,34.69,9.3,10.38,46.32,0.0,1.0,0.27,0.0,0.0,0.44,0.0,26.23,13.91,0.0,0.0,7.91,0.0,4.35,0.52,0.0,0.0,0.76,0.0,8.69,1.2,0.64,0.67,0.03,1.4,-0.2461833242653135,0,1,2,Medium,403.7142857142857,8.074285714285711,7.142857142857145,292.2857142857143,75.76727272727273,48.67063636363637,54.0,4332.0,44.132029339853304,295.0,57.88432912518041,54.0,213.3750000000004,29.260000000000016,27.640000000000022
P132,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 7,89.164,65.2,225.1,144.4,192.8,193.5,37.6,0.0,100.0,10.0,0.0,0.0,24.0,-7.17,16.21,-1.3,-0.58,-0.31,1.73,-61.06,47.97,4.02,4.18,2.06,18.08,0.0,100.0,66.0,100.0,100.0,43.0,2.83,0.79,0.29,0.15,0.59,0.0,1.79,0.43,0.25,0.24,0.35,-0.0,168.88,28.68,7.92,4.26,30.58,0.0,1.0,0.29,0.0,0.0,0.46,0.0,26.3,13.07,7.45,12.62,7.9,0.0,4.18,0.53,0.0,0.0,0.82,0.0,7.17,1.39,0.58,0.31,-0.27,1.4,-0.8480364211530473,0,1,1,Fast,315.0,6.299999999999987,7.142857142857158,253.57142857142858,76.74,39.43866666666666,40.0,3718.0,41.70031404217138,272.0,41.94078159809103,40.0,135.74166666666645,20.460000000000008,19.6
P132,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 8,88.899,62.3,229.7,145.1,193.5,193.1,38.4,0.0,100.0,12.0,0.0,0.0,27.0,-9.6,2.52,-1.5,-0.31,-0.55,1.82,-45.33,61.44,4.04,2.06,3.83,17.66,0.0,100.0,68.0,100.0,100.0,43.0,2.56,0.78,0.15,0.27,0.59,0.0,1.85,0.46,0.24,0.24,0.36,-0.0,169.56,29.73,4.26,7.47,34.31,0.0,1.0,0.27,0.0,0.0,0.44,0.0,23.73,11.52,12.62,12.82,7.19,0.0,4.03,0.45,0.0,0.0,0.75,0.0,9.6,1.53,0.31,0.55,0.24,1.79,-0.8657124790800395,0,1,1,Fast,304.38157894736844,6.0874999999999915,6.250135091321742,241.875,82.11111111111111,38.71244444444445,42.0,3775.0,42.472997299729975,254.0,45.404708277373345,42.0,121.1875,2.63999999999999,1.6400000000000068
