PID,TrackName,CarName,EventDate,Lap,LapTime,Corr Speed kmh_Min,Corr Speed kmh_Max,Corr Speed kmh_Avg,Corr Speed kmh_Start,Corr Speed kmh_End,Corr Speed kmh_Std Dev,BRAKE _Min,BRAKE _Max,BRAKE _Avg,BRAKE _Start,BRAKE _End,BRAKE _Std Dev,Oversteer _Min,Oversteer _Max,Oversteer _Avg,Oversteer _Start,Oversteer _End,Oversteer _Std Dev,ROTY s_Min,ROTY s_Max,ROTY s_Avg,ROTY s_Start,ROTY s_End,ROTY s_Std Dev,THROTTLE _Min,THROTTLE _Max,THROTTLE _Avg,THROTTLE _Start,THROTTLE _End,THROTTLE _Std Dev,abs glat_Max,abs glat_Avg,abs glat_Start,abs glat_End,abs glat_Std Dev,abs glong_Min,abs glong_Max,abs glong_Avg,abs glong_Start,abs glong_End,abs glong_Std Dev,abs Steerangle_Min,abs Steerangle_Max,abs Steerangle_Avg,abs Steerangle_Start,abs Steerangle_End,abs Steerangle_Std Dev,lane deviation_Min,lane deviation_Max,lane deviation_Avg,lane deviation_Start,lane deviation_End,lane deviation_Std Dev,steering reversal rate per lap_Min,steering reversal rate per lap_Max,steering reversal rate per lap_Avg,steering reversal rate per lap_Start,steering reversal rate per lap_End,steering reversal rate per lap_Std Dev,steering reversal rate per sector_Min,steering reversal rate per sector_Max,steering reversal rate per sector_Avg,steering reversal rate per sector_Start,steering reversal rate per sector_End,steering reversal rate per sector_Std Dev,understeer_Min,understeer_Max,understeer_Avg,understeer_Start,understeer_End,understeer_Change,understeer_Std Dev,z,outlier,validlap,cluster,cluster_label,THROTTLE width_Avg,Throttle_duration_Avg,Throttle application speed_Avg,Throttle release application_Avg,Steer_Peakvalue_Avg,Steer_PeakTime_Avg,number of crossing_Avg,Cumulative angular travel_Avg,angular velosity_Avg,number of direction changed_Avg,steering angle_RMS,number of crossing,Brake_length_Avg,Brake_duration_Avg,Trail_braking_duration_Avg
P117,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","19/10/2024, ",Lap 2,88.094,67.1,223.2,145.9,191.2,192.2,36.9,0.0,100.0,12.0,0.0,0.0,27.0,-8.49,1.91,-1.67,-0.43,-0.39,1.84,-43.53,60.79,4.07,3.12,2.65,17.65,0.0,100.0,67.0,100.0,100.0,43.0,2.74,0.81,0.27,0.21,0.63,0.0,1.87,0.44,0.25,0.25,0.34,-0.0,145.66,30.83,6.27,5.38,32.94,0.0,1.0,0.32,0.0,0.0,0.47,0.0,28.53,14.06,0.0,0.0,8.67,0.0,4.18,0.59,0.0,0.18,0.83,0.0,8.49,1.68,0.43,0.39,-0.04,1.82,-0.9194076739148648,0,1,1,Fast,312.7142857142857,6.254285714285719,7.142857142857138,255.42857142857142,96.96375,43.084500000000006,22.0,3240.0,36.78474114441417,240.0,45.11996070221361,22.0,156.47023809523813,2.9200000000000035,1.459999999999992
P117,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","19/10/2024, ",Lap 3,88.339,63.5,227.7,145.8,192.2,190.6,38.8,0.0,100.0,12.0,0.0,0.0,27.0,-7.62,10.47,-1.59,-0.39,-0.44,1.81,-74.97,65.31,4.04,2.65,3.01,18.34,0.0,100.0,67.0,100.0,100.0,44.0,3.52,0.81,0.21,0.24,0.63,0.0,1.9,0.44,0.25,0.2,0.34,-0.0,153.04,31.43,5.38,6.25,33.06,0.0,1.0,0.32,0.0,0.0,0.47,0.0,28.5,13.44,0.0,9.69,8.87,0.0,3.7,0.58,0.18,0.3,0.82,0.0,7.62,1.64,0.39,0.44,0.04,1.71,-0.90306565809557,0,1,1,Fast,278.46938775510205,5.568571428571431,7.143904252311491,218.57142857142858,92.27749999999999,44.0905,23.0,3410.0,38.60960144927536,224.0,45.62466001461573,23.0,139.80000000000018,12.619999999999992,11.55999999999997
P117,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","19/10/2024, ",Lap 7,88.394,67.5,226.7,145.7,192.6,192.5,37.6,0.0,100.0,11.0,0.0,0.0,25.0,-6.38,22.32,-1.05,-0.39,-0.74,3.07,-47.6,57.21,4.05,2.81,5.58,18.01,0.0,100.0,67.0,100.0,100.0,43.0,2.84,0.81,0.25,0.44,0.62,0.0,1.94,0.43,0.24,0.25,0.34,-0.0,200.68,30.34,5.7,10.87,31.98,0.0,1.0,0.33,0.0,0.0,0.47,0.0,28.88,14.21,0.0,2.89,8.85,0.0,4.15,0.64,0.23,0.28,0.8,0.0,6.38,1.46,0.39,0.74,0.35,1.56,-0.8993970422994014,0,1,1,Fast,270.53333333333336,5.413333333333374,8.329228243021284,218.0,98.75875,41.62650000000001,28.0,3897.0,44.11365179986416,226.0,44.10054989731068,28.0,102.95833333333331,18.599999999999994,17.83999999999997
P117,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","19/10/2024, ",Lap 8,87.174,67.2,226.9,147.3,192.5,193.2,37.4,0.0,100.0,11.0,0.0,0.0,26.0,-7.77,3.27,-1.65,-0.74,-0.26,1.81,-64.29,58.16,4.09,5.58,1.52,17.74,0.0,100.0,68.0,100.0,100.0,44.0,3.23,0.82,0.44,0.09,0.64,0.0,1.88,0.44,0.25,0.25,0.34,-0.0,139.58,30.62,10.87,3.22,31.84,0.0,1.0,0.31,0.0,0.0,0.46,0.0,26.83,13.08,2.89,17.71,8.29,0.0,3.45,0.58,0.28,0.23,0.8,0.0,7.77,1.66,0.74,0.26,-0.48,1.79,-0.9807736108689498,0,1,1,Fast,347.2857142857143,6.945714285714303,7.1428571428571255,286.0,87.31888888888889,37.94611111111111,26.0,3006.0,34.496212990589854,203.0,44.19258560490252,26.0,156.125,3.0000000000000018,1.4999999999999813
P117,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","19/10/2024, ",Lap 9,88.664,55.2,228.2,145.1,193.2,190.9,38.4,0.0,100.0,12.0,0.0,0.0,27.0,-8.38,16.04,-1.6,-0.26,-0.46,1.91,-69.12,63.37,4.04,1.52,2.84,18.22,0.0,100.0,66.0,100.0,100.0,45.0,2.99,0.81,0.09,0.22,0.62,0.0,1.84,0.44,0.25,0.26,0.34,-0.0,173.42,31.61,3.22,6.39,33.16,0.0,1.0,0.32,0.0,0.0,0.47,0.0,28.28,13.59,17.71,23.19,9.06,0.0,3.87,0.62,0.23,0.0,0.82,0.0,8.38,1.67,0.26,0.46,0.2,1.7,-0.8813874738454852,0,1,1,Fast,296.42857142857144,5.928571428571412,7.142857142857162,241.85714285714286,91.61111111111113,39.07433333333333,22.0,3284.0,37.060018050541515,224.0,45.82387359986878,22.0,72.24166666666673,1.3599999999999817,0.6799999999999962
P117,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","19/10/2024, ",Lap 10,86.707,65.2,227.0,148.0,190.9,191.7,37.6,0.0,100.0,12.0,0.0,0.0,27.0,-7.49,3.47,-1.68,-0.46,-0.27,1.83,-58.6,62.25,4.12,2.84,1.77,17.81,0.0,100.0,69.0,100.0,100.0,43.0,3.14,0.84,0.22,0.14,0.63,0.0,1.85,0.43,0.26,0.26,0.33,-0.0,144.38,31.27,6.39,3.59,31.97,0.0,1.0,0.31,0.0,0.0,0.46,0.0,27.07,12.88,23.19,0.0,8.46,0.0,4.03,0.54,0.0,0.0,0.82,0.0,7.49,1.71,0.46,0.27,-0.18,1.8,-1.0119234940836876,0,1,1,Fast,294.76623376623377,5.894285714285713,7.144116184348857,253.0,86.41555555555554,38.137,27.0,3229.0,37.254901960784316,224.0,44.73451095729376,27.0,141.9416666666669,2.599999999999998,1.3000000000000007
P117,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","19/10/2024, ",Lap 11,86.89,67.4,226.5,147.8,191.7,192.1,37.2,0.0,100.0,12.0,0.0,0.0,26.0,-7.53,4.1,-1.79,-0.27,-0.22,1.87,-52.54,58.18,4.12,1.77,1.61,17.64,0.0,100.0,68.0,100.0,100.0,44.0,2.96,0.84,0.14,0.14,0.62,0.0,1.92,0.44,0.26,0.25,0.33,-0.0,142.82,32.29,3.59,3.13,32.24,0.0,1.0,0.32,0.0,0.0,0.47,0.0,27.67,13.38,0.0,0.0,8.52,0.0,4.0,0.56,0.0,0.28,0.83,0.0,7.53,1.8,0.27,0.22,-0.05,1.85,-0.9997170087982548,0,1,1,Fast,310.0,6.199999999999981,7.142857142857165,255.85714285714286,90.74375,40.025,18.0,2795.0,32.17821782178218,216.0,45.64559790247841,18.0,83.125,8.600000000000009,8.020000000000014
P117,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","19/10/2024, ",Lap 12,86.8,66.4,227.4,148.1,192.1,191.9,37.9,0.0,100.0,11.0,0.0,0.0,25.0,-7.49,14.82,-1.53,-0.22,-0.31,2.13,-53.8,60.63,4.12,1.61,1.86,17.63,0.0,100.0,69.0,100.0,100.0,43.0,3.27,0.84,0.14,0.12,0.62,0.0,2.81,0.43,0.25,0.25,0.34,-0.0,144.89,30.43,3.13,4.05,29.71,0.0,1.0,0.33,0.0,0.0,0.47,0.0,28.55,13.84,0.0,0.0,8.77,0.0,3.95,0.63,0.28,0.3,0.81,0.0,7.49,1.66,0.22,0.31,0.09,1.73,-1.0057201982828938,0,1,1,Fast,276.76190476190476,5.534285714285716,7.1440863387172095,216.14285714285714,82.97666666666667,38.388888888888886,24.0,3241.0,37.34731504955059,218.0,42.53458389804208,24.0,118.66666666666674,2.1999999999999984,1.100000000000004
P116,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","19/10/2024, ",Lap 2,113.184,0.0,229.1,114.8,192.3,192.7,54.7,0.0,100.0,12.0,0.0,0.0,26.0,-7.86,22.65,-0.97,-0.84,-0.39,2.84,-111.64,99.82,3.18,6.29,2.81,23.12,0.0,100.0,64.0,100.0,100.0,39.0,2.79,0.63,0.39,0.3,0.53,0.0,1.78,0.44,0.26,0.26,0.32,-0.0,205.76,44.53,11.92,5.99,51.74,0.0,1.0,0.24,0.0,0.0,0.43,0.0,27.57,14.78,9.36,0.0,7.66,0.0,4.32,0.58,0.0,0.12,0.88,0.0,7.86,1.24,0.84,0.39,-0.46,1.67,0.7541481501916683,0,1,0,Slow,268.6363636363636,5.3727272727272695,4.545454545454548,156.9090909090909,99.1418181818182,51.24218181818182,44.0,5022.0,44.3796394485684,274.0,68.28241859060455,44.0,109.75,150.24,150.44
P116,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","19/10/2024, ",Lap 3,94.032,53.1,228.2,137.2,192.7,188.4,40.0,0.0,100.0,15.0,0.0,0.0,30.0,-7.66,21.59,-1.09,-0.39,-0.68,2.73,-58.75,72.88,3.83,2.81,4.72,17.67,0.0,100.0,69.0,100.0,100.0,40.0,4.48,0.71,0.3,0.39,0.56,0.0,1.98,0.45,0.26,0.26,0.37,-0.0,212.27,30.52,5.99,10.4,36.44,0.0,1.0,0.27,0.0,0.0,0.44,0.0,24.98,12.2,0.0,11.99,7.54,0.0,4.22,0.57,0.12,0.0,0.86,0.0,7.66,1.4,0.39,0.68,0.29,1.69,-0.5233305721394724,0,1,1,Fast,307.875,6.157499999999999,6.250000000000001,225.375,103.42444444444445,46.50888888888889,44.0,4284.0,45.564773452456926,240.0,47.54390485379882,44.0,140.25000000000017,17.420000000000005,16.780000000000012
